"BRANCH_ID","LEGEL_NAME","ADDRESS_ID","PHONE_ID","FORM_TYPE_ID","COMMENTS","ORG_ID","MAIN_BRANCH","FACT_NAME"
6910,"Престиж",6949,10391,7,"",7121,1,"Престиж"
6911,"Бельнатюр салон красоты",6950,10392,5,"",7122,1,"Бельнатюр"
6916,"Окно в Европу",6955,10396,15,"",7127,1,"Окно в Европу Образовательный центр"
6919,"Старченко В.Н.",6958,10400,7,"",7130,1,"Старченко В.Н. ИП"
6926,"Бондарчук К.И.",6965,10409,7,"",7137,1,"Хамелеон"
6928,"Наумцев Б.В.",6967,10411,7,"",7139,1,"Авто-Профи"
6866,"Электроника плюс",6905,24164,5,"",7073,1,"Электроника плюс"
24804,"Престиж Мебель",24519,,5,"",4724,1,"Престиж Мебель"
26611,"БалтЕвроТехник",26317,,5,"",14578,0,"БалтЕвроТехник"
6936,"ВиТа-Строй",6975,25180,5,"",7147,1,"ВиТа-Строй"
26612,"Гидравлик.ру",26318,,5,"",22205,1,"Гидравлик.ру"
24805,"Престиж Мебель",24520,,5,"",4724,0,"Престиж Мебель"
6947,"Гейт",6986,10441,5,"",7157,1,"Гейт"
24806,"Вертикаль",24521,,5,"",2428,0,"Британника Английский паб"
24807,"Наутилус",24522,,5,"",10992,0,"Наутилус"
21013,"Нерон",20753,,5,"",4496,0,"Белый клык — ветеринарная клиника"
7668,"Западный Форпост производственная компания",7707,11520,5,"",7841,1,"Западный Форпост производственная компания"
24808,"Содружество Соя",24523,,8,"",21016,1,"Содружество Соя ЗАО"
24809,"Центральный рынок",24524,,5,"",21017,1,"Центральный рынок"
24819,"Молодший А.В.",24532,,7,"",21035,1,"Молодший А.В. ИП"
7707,"Балтавтоматик",7746,11592,5,"",7881,1,"Балтавтопарк"
24818,"Кондурова В.О.",24531,,7,"",21034,1,"Кондурова В.О. ИП"
7715,"Королевский замок",7754,11601,27,"",7890,1,"Королевский замок Информационно-туристический центр"
24820,"Инфинити",24533,,23,"",21036,1,"Инфинити ООО"
24821,"Монтаж-Сервис",24534,,5,"",21037,1,"Монтаж-Сервис ООО"
7746,"Маяк ТЦ",7785,11649,5,"",7921,1,"Маяк ТЦ"
24822,"Любава мебель",24535,,5,"",21038,1,"Любава мебель ООО"
7767,"Шедевр-флора",7806,11680,5,"",7945,1,"Шедевр-флора"
7777,"БАРС ",7816,11696,5,"",7957,1,"Барс ООО"
24823,"БалтСтройМонтаж",24536,,5,"",21039,1,"НЕДОЗВОН/БалтСтройМонтаж ООО"
7821,"Ирина  ",7860,11763,5,"",8010,1,"Ирина  "
7832,"Балтсудосервис",7871,11778,5,"",8020,1,"Балтсудострой"
8015,"Золотая орхидея ",8054,20093,5,"",8223,1,"Золотая орхидея "
8019,"Россия Гостиница",8058,12076,5,"",8227,1,"Россия Гостиница"
8028,"Пивной Двор",8067,12085,5,"",8235,1,"Пивной Двор"
8031,"Бриз Балтики",8070,12088,5,"",8239,1,"Бриз Балтики"
24909,"Лобанов А.С.",24620,,7,"",21119,1,"Авангард — полиграфический центр, печати и штампы"
8039,"Усадьба Заеца",8078,12099,5,"",8246,1,"Усадьба Заеца"
8044,"Старая Аптека",8083,12108,5,"",8251,1,"Старая Аптека"
25359,"Веставто",25069,,5,"",21476,1,"Веставто"
25360,"Мегаполис СК",25070,,5,"",21477,1,"Мегаполис СК"
8076,"Золотой якорь",8115,12168,5,"",8287,1,"Золотой якорь"
8079,"Лаптау",8118,12171,5,"",8290,1,"Лаптау"
8085,"Дюны",8124,,5,"",8296,1,"Турбаза Дюны"
25361,"Мир автостекол",25071,,5,"",7172,0,"Мир автостекол"
8108,"Пальве",8147,,5,"",8322,1,"Пальве ООО"
8111,"Лада",8150,12214,5,"",8324,1,"Лада Гаражное общество"
3998,"№11 Детский сад",4037,6499,16,"",4201,1,"№11 Детский сад"
