"RUB_ID","NAME"
51,"ГОСТИНИЦЫ, ГОСТЕВЫЕ ДОМА, ТУРБАЗЫ, ХОСТЕЛ"
52,"ДВЕРИ: ПРОИЗВОДСТВО, ПРОДАЖА, МОНТАЖ"
53,"ДЕРЕВООБРАБОТКА, ДЕРЕВООБРАБАТЫВАЮЩЕЕ ОБОРУДОВАНИЕ"
54,"ДЕТЕКТИВНЫЕ АГЕНТСТВА"
55,"ДЕТСКИЕ ТОВАРЫ"
56,"ДИСКОТЕКИ, НОЧНЫЕ КЛУБЫ"
57,"ДОМАШНИЕ ЖИВОТНЫЕ, КОРМ, АКСЕССУАРЫ"
58,"ЖАЛЮЗИ, РОЛЛЕТЫ, МАРКИЗЫ"
59,"ЖЕЛЕЗНОДОРОЖНЫЕ ПЕРЕВОЗКИ "
60,"ЖИВОТНОВОДСТВО, ПТИЦЕВОДСТВО, ПЧЕЛОВОДСТВО"
61,"ЗАКАЗЫ ПО КАТАЛОГАМ, ИНТЕРНЕТ-МАГАЗИНЫ"
62,"ЗЕРКАЛА, СТЕКЛО"
63,"ИНВЕСТИЦИИ И ФОНДОВЫЙ РЫНОК"
64,"ИНОСТРАННЫЕ ЯЗЫКИ: ПЕРЕВОДЫ, КУРСЫ"
65,"ИНСТРУМЕНТЫ"
66,"ИНСТРУМЕНТЫ ЭЛЕКТРИЧЕСКИЕ"
67,"ИНТЕРНЕТ, WEB-ДИЗАЙН"
68,"ИНТЕРНЕТ, ПРОВАЙДЕРЫ"
70,"ИНТЕРЬЕР: ДИЗАЙН И ПРОЕКТИРОВАНИЕ"
71,"ИНФОРМАЦИОННО-СПРАВОЧНЫЕ УСЛУГИ, ИЗДАНИЯ"
73,"УДАЛИТЬ"
76,"КАНЦЕЛЯРСКИЕ ТОВАРЫ"
77,"КАРТОГРАФИЯ И ГЕОДЕЗИЯ, ЗЕМЛЕУСТРОЙСТВО"
79,"КАФЕ, ПИЦЦЕРИИ, БИСТРО"
80,"КИНОТЕАТРЫ"
81,"КЛИНИНГОВЫЕ УСЛУГИ"
82,"КЛЮЧИ, ЗАМКИ, ЗАПОРНЫЕ УСТРОЙСТВА"
83,"КНИГИ, УЧЕБНЫЕ ПОСОБИЯ"
84,"КОЖАНЫЕ И МЕХОВЫЕ ИЗДЕЛИЯ"
85,"КОМПЬЮТЕРЫ, ОРГТЕХНИКА, РАСХОДНЫЕ МАТЕРИАЛЫ"
86,"КОСМЕТИКА, ПАРФЮМЕРИЯ, СРЕДСТВА ГИГИЕНЫ"
87,"КОСМЕТОЛОГИЯ"
89,"КРАСКИ, ЛАКИ, РАСТВОРИТЕЛИ"
92,"КУРСОВОЕ ОБУЧЕНИЕ"
93,"КУРЬЕРСКИЕ УСЛУГИ"
94,"ЛИЗИНГ И ФАКТОРИНГ"
95,"ЛИФТЫ, ЭСКАЛАТОРЫ, ПОДЪЕМНОЕ ОБОРУДОВАНИЕ"
96,"МАССАЖ, СПА"
97,"МАШИНОСТРОЕНИЕ"
99,"МЕБЕЛЬ: ИЗГОТОВЛЕНИЕ"
102,"МЕБЕЛЬ: ПРОДАЖА"
103,"МЕБЕЛЬ: РЕМОНТ"
105,"МЕДИЦИНА"
106,"МЕДИЦИНСКАЯ ТЕХНИКА, ИНСТРУМЕНТЫ, РАСХОДНЫЕ МАТЕРИАЛЫ"
107,"МЕТАЛЛИЧЕСКИЕ ИЗДЕЛИЯ И КОНСТРУКЦИИ"
108,"МЕТАЛЛЫ, МЕТАЛЛОПРОКАТ"
109,"МЕХАНИЗМЫ И ОБОРУДОВАНИЕ"
110,"МОБИЛЬНАЯ СВЯЗЬ: ОПЕРАТОРЫ"
