"BRANCH_ID","PHONE_ID","NAME","FAX","DIRECTOR","CONTACT","DESCRIPTION","PUBLISHABLE","MOBILE","MOBILE_PREFIX"
17627,29365,"957002",0,0,0,"",0,,
17653,29418,"254790",0,0,0,"",1,,
2989,29692,"760618",0,0,0,"",1,1,4012
10887,35080,"777970",0,0,0,"",0,,
10887,35081,"339200",0,0,0,"",0,,
12513,46780,"937088",0,0,0,"",0,,
26089,46779,"34655",1,0,0,"",1,,
26022,50152,"762834",0,0,0,"",1,,
27705,50153,"376929",0,0,0,"",1,,
27706,50154,"777575",0,0,0,"",1,,
2804,4707,"692333",0,0,0,"",1,,
2824,4735,"764712",0,0,0,"",1,,
2991,4974,"33540",1,0,0,"",0,,
4292,48146,"792056",0,0,0,"",0,,
15144,48147,"337797",0,0,0,"",0,,
21812,37408,"23412",0,0,0,"",1,,
21813,37409,"22833",0,0,0,"",1,,
21814,37410,"22737",0,0,0,"",1,,
21815,37411,"22603",0,0,0,"",1,,
21818,37414,"4821000",0,0,0,"",1,1,911
21819,37415,"22645",0,0,0,"",1,,
24175,42724,"211610",0,0,0,"",0,,
24175,42725,"213708",0,0,0,"",0,,
24176,42726,"632446",0,0,0,"",1,,
24178,42730,"687341",0,0,0,"",1,,
21821,37420,"31167",0,0,0,"",1,,
9569,48148,"507007",0,0,0,"",0,,
2560,4355,"775210",0,0,0,"",0,,
2570,4369,"538260",0,0,0,"",1,,
2585,4399,"956262",0,0,0,"",1,,
2593,4415,"342435",1,0,0,"",1,,
2595,4416,"533703",1,0,0,"",0,,
2617,4441,"350231",1,0,0,"",1,,
2623,4453,"4759294",0,0,0,"",1,1,911
2632,4468,"646444",0,0,0,"",1,,
12104,19271,"516411",0,0,0,"Приемная",1,,
2654,4490,"955711",1,0,0,"",1,,
21981,48149,"531318",0,0,0,"",0,,
24175,42723,"219868",0,0,0,"",1,,
25658,48150,"8618302",0,0,0,"",0,1,911
27707,50155,"964303",0,0,0,"",1,,
8071,34974,"30872",0,0,0,"",0,,
18661,50156,"4501095",0,0,0,"",1,1,911
18661,50157,"647339",1,0,0,"",0,,
24179,42731,"645590",0,0,0,"",1,,
19319,32434,"2338925",0,0,0,"",0,1,906
24179,42732,"653110",0,0,0,"",0,,
19320,32435,"776229",0,0,0,"",1,,
668,50158,"776565",0,0,0,"",0,,
3155,5252,"987222",1,0,0,"",0,,
3213,5333,"32351",0,0,0,"",1,,
2546,19446,"533771",0,0,0,"",0,,
3247,5387,"531821",1,0,0,"",0,,
3229,50159,"35009",0,0,0,"",1,,
24104,42629,"75248",0,0,0,"",1,,
3267,5438,"574047",1,0,0,"",1,,
3284,5464,"791606",0,0,0,"",0,,
3291,5477,"462475",0,0,0,"",1,,
3295,5484,"389032",0,0,0,"",1,,
3296,5487,"992050",0,0,0,"",1,,
13177,50160,"601944",0,0,0,"Стоматология",0,,
3338,5564,"533640",0,0,0,"",1,,
3412,5658,"534943",0,0,0,"",0,,
27708,50161,"567901",0,0,0,"Регистратура",1,,
19320,32436,"918190",0,0,0,"",0,,
2179,32438,"353353",0,0,0,"",1,,
24108,42633,"92248",0,0,0,"",1,,
3422,5671,"975701",0,0,0,"",1,,
24109,42634,"95248",0,0,0,"",1,,
4453,32441,"961116",0,0,0,"Бухгалтерия",0,,
8578,32442,"215703",0,0,0,"",1,,
3436,5694,"641754",0,0,0,"",0,,
24110,42635,"94221",0,0,0,"",1,,
2488,4249,"303415",0,0,0,"",1,,
3448,5711,"391920",0,0,0,"",1,,
27709,50163,"523979",0,0,0,"",1,,
27709,50164,"2353229",0,0,0,"",0,1,906
24112,42637,"73221",0,0,0,"",1,,
3494,5768,"933522",0,0,0,"",1,,
3500,5780,"536497",0,0,0,"",1,,
27710,50165,"7337723",0,0,0,"",1,1,903
24113,42638,"72248",0,0,0,"",1,,
1171,41112,"710719",0,0,0,"",0,,
26965,48996,"520704",0,0,0,"",1,,
26966,48997,"6721941",0,0,0,"",1,1,950
24185,42742,"645535",0,0,0,"",1,,
26967,48998,"934200",0,0,0,"",1,,
20153,33914,"755505",0,0,0,"",1,,
20180,33963,"686947",0,0,0,"",1,,
26967,48999,"6709111",0,0,0,"",0,1,950
23387,41114,"741774",0,0,0,"",1,1,4012
16469,35088,"55539",0,0,0,"",0,,
580,35089,"2429830",0,0,0,"",1,1,905
20751,35090,"538578",0,0,0,"",1,,
18801,49000,"668306",0,0,0,"",0,,
2981,4957,"502457",0,0,0,"Охрана",1,,
26968,49001,"754002",0,0,0,"",1,,
3088,5096,"536994",0,0,0,"",0,,
3642,6005,"703073",1,0,0,"",1,,
3728,6127,"632176",1,0,0,"",1,,
3749,6161,"461446",1,0,0,"",1,,
3769,6193,"965953",0,0,0,"",1,,
3788,6216,"469851",1,0,0,"",1,,
3808,6239,"323420",1,0,0,"",1,,
3818,6249,"219516",1,0,0,"",1,,
641,6268,"390228",0,0,0,"",1,,
15723,42896,"34962",0,0,0,"Бухгалтерия",0,,
26969,49002,"339212",0,0,0,"",1,,
11924,35395,"750020",0,0,0,"",1,,
11926,35396,"750020",0,0,0,"",1,,
21010,35584,"741470",1,0,0,"",1,1,4012
22000,37736,"909909",0,0,0,"Справочная служба",1,,
26970,49003,"2190718",0,0,0,"",1,1,906
26971,49004,"703025",0,0,0,"",1,,
1839,42907,"603551",0,0,0,"",0,,
5188,35598,"531710",0,0,0,"Договорный сектор управления транспорта",0,,
4156,6698,"530649",0,0,0,"",1,,
4165,6710,"532346",0,0,0,"",1,,
4195,6745,"354508",0,0,0,"",1,,
24312,42926,"963337",0,0,0,"",1,,
24312,42927,"508058",0,0,0,"",0,,
24314,42930,"970597",0,0,0,"",1,,
24314,42931,"900807",0,0,0,"",0,,
24314,42932,"900839",0,0,0,"",0,,
5303,8249,"645204",0,0,0,"",1,,
26971,49005,"703020",0,0,0,"",0,,
24319,42938,"375756",0,0,0,"",1,,
21340,36364,"655191",0,0,0,"",1,,
5188,35599,"576311",0,0,0,"Справочная служба",1,,
21831,37436,"2314901",0,0,0,"",1,1,906
21833,37437,"37640",0,0,0,"",1,,
26972,49006,"4687829",0,0,0,"",1,1,911
26973,49007,"765454",0,0,0,"",1,,
21838,37444,"37358",0,0,0,"",1,,
21839,37445,"31831",0,0,0,"",1,,
