"ADDRESS_ID","HOUSE","ENTRANCE","CASE","STAGE","OFFICE","CABINET","DISTRICT_ID","CITY_ID","STREET_ID","POST_INDEX_ID","OTHER","PAVILION","LITERA"
2744,"23","","","","","",,0,345,20,"","",""
28329,"5 А","","","","","",,7,2237,,"","",""
2760,"31","","","","","",,0,573,,"","",""
2766,"","","","","","",,5,,,"","",""
2771,"75","","","","","",,0,314,,"","",""
2775,"30","","","1","","",,0,438,,"","",""
28330,"26","","","","","",,97,2239,,"","",""
2824,"","","","","","",,0,,,"","",""
28331,"7 А","","","","","",,217,1471,,"","",""
28385,"75","","","","","",,0,800,,"","",""
2838,"45","","","","301","",,0,98,,"","",""
2842,"14","","","","","",,0,938,,"","",""
2846,"14","","","","","",,0,938,,"","",""
2850,"14","","","","20","",,0,938,,"","",""
2859,"14","","","","","",,0,938,,"","",""
2863,"122","","","","","",,0,54,,"","",""
2868,"","","","","","",,0,,,"","",""
2869,"1","","","","","",,0,652,,"","",""
2873,"31 Е","","","","","",,0,28,,"","",""
28386,"4","","","","","",,0,640,,"","",""
2881,"5","","","","","",,0,279,,"","",""
2889,"130","","","","","",,0,245,,"","",""
2893,"162 А","","","","","",,0,245,,"","",""
2897,"17 А","","","","","",,0,245,,"","",""
25925,"15","","","","","",,0,185,,"","",""
25923,"2-8 А","","","","","",,0,200,,"","",""
25924,"34","","","","","",,0,677,,"","",""
25926,"159","","","","","",,0,180,,"","",""
2918,"","","","","","",,0,,,"","",""
2920,"","","","","","",,0,,,"","",""
2949,"91 А","","","","","",,0,407,,"","",""
25927,"50","","","","","",,0,1006,,"","",""
12361,"26/30","","","","","",,0,498,,"","",""
12382,"171 А","","","","","",,0,535,,"","",""
1657,"7 А","","","","","",,0,664,5,"","",""
1659,"8","","","","","",,0,643,21,"","",""
1660,"20","","","","","",,0,419,9,"","",""
1661,"23","","","","","",,0,214,15,"","",""
1662,"10","","","","","",,0,415,8,"","",""
1663,"14 А","","","","","",,0,768,15,"","",""
1664,"182","","","","","",,0,535,,"","",""
1665,"","","","","","",,0,,,"","",""
1666,"","","","","","",,0,,,"","",""
1670,"4 А","","","","","411",,0,640,8,"","",""
1673,"30","","","1","","",,0,438,,"","",""
1676,"16","","","","6","",,0,626,,"","",""
1680,"35","","","","","",,0,821,8,"","",""
1686,"95-101","","","","","",,0,438,20,"","",""
1693,"66","","","","","",,0,1013,,"","",""
1698,"54","","","","","",,0,515,,"","",""
1702,"33","","","","","",,0,675,,"","",""
1706,"2","","","","","",,0,841,,"","",""
1708,"","","","","","",,0,,,"","",""
1712,"154","","","","","",,0,214,,"","",""
1716,"1 А","","","","","",,0,604,,"","",""
1721,"90 А","","","","","",,0,496,,"","",""
1725,"106","","","","","",,0,926,,"","",""
1726,"","","","","","",,0,310,,"","",""
1730,"19","","","","","",,0,345,,"","",""
1734,"54","","","","","",,0,550,,"","",""
1738,"182","","","","","",,0,766,,"","",""
25930,"","","","","","",,0,,,"","",""
1752,"49","","","","","",,0,766,,"","",""
1756,"12","","","","","314",,0,766,,"","",""
1768,"15","","","","","",,0,924,,"","",""
1779,"83 А","","","","","",,0,535,,"","",""
1784,"20","","","","","",,0,188,0,"","",""
1788,"2","","","","309","",,0,183,,"","",""
1796,"2","","","","","",,0,910,,"пав. 61, (ТЦ Старая башня)","",""
1806,"6","","","","12, 13","",,0,874,,"","",""
1834,"53","","","","","",,0,19,,"","",""
1855,"4","","","","","",,0,841,,"","",""
