"ORG_ID","FACT_NAME","DATE_POSTED","PROJECT_ID","FROM_ID","SOC_RUBRIC","ACTIVE","MDF_USER","MDF_TIME","AUTHOR_USER","AGENT_ID"
1276,"Надежда Медицинский центр",30.07.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
19079,"Районный совет ветеранов войны, труда, вооруженных сил и правоохранительных органов",25.11.10,1007,2,2,1,"GTS_ADMIN",27.11.13,"GTS_ADMIN",1011
2488,"Старый двор",19.09.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
5028,"НБТ/Санкт-Петербургский государственный университет культуры и искусств Калининградский филиал",02.11.07,1007,2,2,0,"GTS_ADMIN",18.10.13,"",1007
5079,"Телефоны.тут",02.11.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
3843,"Балт-Колор ООО",20.10.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
3917,"НЕДОЗВОН/Ида-сервис",22.10.07,1007,2,1,0,"GTS_ADMIN",28.10.13,"",1010
22397,"Стадис",06.03.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1010
396,"Российское общество оценщиков Калининградское региональное отделение Общероссийской общественной организации",06.06.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
18915,"Союз дизайнеров России Калининградское отделение",18.11.10,1007,2,2,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1013
22398,"Студия Моды",06.03.13,1007,4,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",
18914,"АРТ и К Художественный салон",18.11.10,1007,2,2,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1013
3995,"№41 Средняя общеобразовательная школа",22.10.07,1007,2,2,1,"GTS_ADMIN",11.11.13,"",1011
18916,"Детская художественная школа ",18.11.10,1007,3,2,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",
4250,"Fabi",25.10.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
22399,"Креатив-Принт ООО",06.03.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1010
